Research Class,DTC Code,DTC Definition,Mapping Strength,Interpretation for This Class,Common Symptoms,Likely Diagnosis / Hypothesis,Toyota Examples,Nissan Examples,Volvo Examples,0
IGNITION_SYSTEM,P0300,Random/Multiple Cylinder Misfire Detected,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Check-engine light; rough idle; hesitation; engine shake; loss of power; hard start/no-start; flashing MIL if severe misfire.,"Ignition/misfire system fault; confirm whether spark plug, coil, injector, wiring, compression, timing or air/fuel issue is responsible.","Corolla, Axio, Vitz/Yaris, Allion/Premio","March/Micra, Note, Sunny/Almera, X-Trail","S40/V40, S60, V60, XC60","Misfire DTC identifies the affected cylinder/system, not automatically the failed ignition component."
IGNITION_SYSTEM,P0301,Cylinder 1 Misfire Detected,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Check-engine light; rough idle; hesitation; engine shake; loss of power; hard start/no-start; flashing MIL if severe misfire.,"Ignition/misfire system fault; confirm whether spark plug, coil, injector, wiring, compression, timing or air/fuel issue is responsible.","Corolla, Axio, Vitz/Yaris, Allion/Premio","March/Micra, Note, Sunny/Almera, X-Trail","S40/V40, S60, V60, XC60","Misfire DTC identifies the affected cylinder/system, not automatically the failed ignition component."
IGNITION_SYSTEM,P0302,Cylinder 2 Misfire Detected,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Check-engine light; rough idle; hesitation; engine shake; loss of power; hard start/no-start; flashing MIL if severe misfire.,"Ignition/misfire system fault; confirm whether spark plug, coil, injector, wiring, compression, timing or air/fuel issue is responsible.","Corolla, Axio, Vitz/Yaris, Allion/Premio","March/Micra, Note, Sunny/Almera, X-Trail","S40/V40, S60, V60, XC60","Misfire DTC identifies the affected cylinder/system, not automatically the failed ignition component."
IGNITION_SYSTEM,P0303,Cylinder 3 Misfire Detected,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Check-engine light; rough idle; hesitation; engine shake; loss of power; hard start/no-start; flashing MIL if severe misfire.,"Ignition/misfire system fault; confirm whether spark plug, coil, injector, wiring, compression, timing or air/fuel issue is responsible.","Corolla, Axio, Vitz/Yaris, Allion/Premio","March/Micra, Note, Sunny/Almera, X-Trail","S40/V40, S60, V60, XC60","Misfire DTC identifies the affected cylinder/system, not automatically the failed ignition component."
IGNITION_SYSTEM,P0304,Cylinder 4 Misfire Detected,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Check-engine light; rough idle; hesitation; engine shake; loss of power; hard start/no-start; flashing MIL if severe misfire.,"Ignition/misfire system fault; confirm whether spark plug, coil, injector, wiring, compression, timing or air/fuel issue is responsible.","Corolla, Axio, Vitz/Yaris, Allion/Premio","March/Micra, Note, Sunny/Almera, X-Trail","S40/V40, S60, V60, XC60","Misfire DTC identifies the affected cylinder/system, not automatically the failed ignition component."
IGNITION_SYSTEM,P0305,Cylinder 5 Misfire Detected,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Check-engine light; rough idle; hesitation; engine shake; loss of power; hard start/no-start; flashing MIL if severe misfire.,"Ignition/misfire system fault; confirm whether spark plug, coil, injector, wiring, compression, timing or air/fuel issue is responsible.","Corolla, Axio, Vitz/Yaris, Allion/Premio","March/Micra, Note, Sunny/Almera, X-Trail","S40/V40, S60, V60, XC60","Misfire DTC identifies the affected cylinder/system, not automatically the failed ignition component."
IGNITION_SYSTEM,P0306,Cylinder 6 Misfire Detected,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Check-engine light; rough idle; hesitation; engine shake; loss of power; hard start/no-start; flashing MIL if severe misfire.,"Ignition/misfire system fault; confirm whether spark plug, coil, injector, wiring, compression, timing or air/fuel issue is responsible.","Corolla, Axio, Vitz/Yaris, Allion/Premio","March/Micra, Note, Sunny/Almera, X-Trail","S40/V40, S60, V60, XC60","Misfire DTC identifies the affected cylinder/system, not automatically the failed ignition component."
IGNITION_SYSTEM,P0307,Cylinder 7 Misfire Detected,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Check-engine light; rough idle; hesitation; engine shake; loss of power; hard start/no-start; flashing MIL if severe misfire.,"Ignition/misfire system fault; confirm whether spark plug, coil, injector, wiring, compression, timing or air/fuel issue is responsible.","Corolla, Axio, Vitz/Yaris, Allion/Premio","March/Micra, Note, Sunny/Almera, X-Trail","S40/V40, S60, V60, XC60","Misfire DTC identifies the affected cylinder/system, not automatically the failed ignition component."
IGNITION_SYSTEM,P0308,Cylinder 8 Misfire Detected,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Check-engine light; rough idle; hesitation; engine shake; loss of power; hard start/no-start; flashing MIL if severe misfire.,"Ignition/misfire system fault; confirm whether spark plug, coil, injector, wiring, compression, timing or air/fuel issue is responsible.","Corolla, Axio, Vitz/Yaris, Allion/Premio","March/Micra, Note, Sunny/Almera, X-Trail","S40/V40, S60, V60, XC60","Misfire DTC identifies the affected cylinder/system, not automatically the failed ignition component."
IGNITION_SYSTEM,P0309,Cylinder 9 Misfire Detected,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Check-engine light; rough idle; hesitation; engine shake; loss of power; hard start/no-start; flashing MIL if severe misfire.,"Ignition/misfire system fault; confirm whether spark plug, coil, injector, wiring, compression, timing or air/fuel issue is responsible.","Corolla, Axio, Vitz/Yaris, Allion/Premio","March/Micra, Note, Sunny/Almera, X-Trail","S40/V40, S60, V60, XC60","Misfire DTC identifies the affected cylinder/system, not automatically the failed ignition component."
IGNITION_SYSTEM,P0310,Cylinder 10 Misfire Detected,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Check-engine light; rough idle; hesitation; engine shake; loss of power; hard start/no-start; flashing MIL if severe misfire.,"Ignition/misfire system fault; confirm whether spark plug, coil, injector, wiring, compression, timing or air/fuel issue is responsible.","Corolla, Axio, Vitz/Yaris, Allion/Premio","March/Micra, Note, Sunny/Almera, X-Trail","S40/V40, S60, V60, XC60","Misfire DTC identifies the affected cylinder/system, not automatically the failed ignition component."
IGNITION_SYSTEM,P0311,Cylinder 11 Misfire Detected,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Check-engine light; rough idle; hesitation; engine shake; loss of power; hard start/no-start; flashing MIL if severe misfire.,"Ignition/misfire system fault; confirm whether spark plug, coil, injector, wiring, compression, timing or air/fuel issue is responsible.","Corolla, Axio, Vitz/Yaris, Allion/Premio","March/Micra, Note, Sunny/Almera, X-Trail","S40/V40, S60, V60, XC60","Misfire DTC identifies the affected cylinder/system, not automatically the failed ignition component."
IGNITION_SYSTEM,P0312,Cylinder 12 Misfire Detected,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Check-engine light; rough idle; hesitation; engine shake; loss of power; hard start/no-start; flashing MIL if severe misfire.,"Ignition/misfire system fault; confirm whether spark plug, coil, injector, wiring, compression, timing or air/fuel issue is responsible.","Corolla, Axio, Vitz/Yaris, Allion/Premio","March/Micra, Note, Sunny/Almera, X-Trail","S40/V40, S60, V60, XC60","Misfire DTC identifies the affected cylinder/system, not automatically the failed ignition component."
IGNITION_SYSTEM,P0350,Ignition Coil Primary/Secondary Circuit Malfunction,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Check-engine light; rough idle; hesitation; engine shake; loss of power; hard start/no-start; flashing MIL if severe misfire.,"Ignition/misfire system fault; confirm whether spark plug, coil, injector, wiring, compression, timing or air/fuel issue is responsible.","Corolla, Axio, Vitz/Yaris, Allion/Premio","March/Micra, Note, Sunny/Almera, X-Trail","S40/V40, S60, V60, XC60","Misfire DTC identifies the affected cylinder/system, not automatically the failed ignition component."
IGNITION_SYSTEM,P0351,Ignition Coil A Primary/Secondary Circuit Malfunction,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Check-engine light; rough idle; hesitation; engine shake; loss of power; hard start/no-start; flashing MIL if severe misfire.,"Ignition/misfire system fault; confirm whether spark plug, coil, injector, wiring, compression, timing or air/fuel issue is responsible.","Corolla, Axio, Vitz/Yaris, Allion/Premio","March/Micra, Note, Sunny/Almera, X-Trail","S40/V40, S60, V60, XC60","Misfire DTC identifies the affected cylinder/system, not automatically the failed ignition component."
IGNITION_SYSTEM,P0352,Ignition Coil B Primary/Secondary Circuit Malfunction,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Check-engine light; rough idle; hesitation; engine shake; loss of power; hard start/no-start; flashing MIL if severe misfire.,"Ignition/misfire system fault; confirm whether spark plug, coil, injector, wiring, compression, timing or air/fuel issue is responsible.","Corolla, Axio, Vitz/Yaris, Allion/Premio","March/Micra, Note, Sunny/Almera, X-Trail","S40/V40, S60, V60, XC60","Misfire DTC identifies the affected cylinder/system, not automatically the failed ignition component."
IGNITION_SYSTEM,P0353,Ignition Coil C Primary/Secondary Circuit Malfunction,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Check-engine light; rough idle; hesitation; engine shake; loss of power; hard start/no-start; flashing MIL if severe misfire.,"Ignition/misfire system fault; confirm whether spark plug, coil, injector, wiring, compression, timing or air/fuel issue is responsible.","Corolla, Axio, Vitz/Yaris, Allion/Premio","March/Micra, Note, Sunny/Almera, X-Trail","S40/V40, S60, V60, XC60","Misfire DTC identifies the affected cylinder/system, not automatically the failed ignition component."
IGNITION_SYSTEM,P0354,Ignition Coil D Primary/Secondary Circuit Malfunction,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Check-engine light; rough idle; hesitation; engine shake; loss of power; hard start/no-start; flashing MIL if severe misfire.,"Ignition/misfire system fault; confirm whether spark plug, coil, injector, wiring, compression, timing or air/fuel issue is responsible.","Corolla, Axio, Vitz/Yaris, Allion/Premio","March/Micra, Note, Sunny/Almera, X-Trail","S40/V40, S60, V60, XC60","Misfire DTC identifies the affected cylinder/system, not automatically the failed ignition component."
IGNITION_SYSTEM,P0355,Ignition Coil E Primary/Secondary Circuit Malfunction,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Check-engine light; rough idle; hesitation; engine shake; loss of power; hard start/no-start; flashing MIL if severe misfire.,"Ignition/misfire system fault; confirm whether spark plug, coil, injector, wiring, compression, timing or air/fuel issue is responsible.","Corolla, Axio, Vitz/Yaris, Allion/Premio","March/Micra, Note, Sunny/Almera, X-Trail","S40/V40, S60, V60, XC60","Misfire DTC identifies the affected cylinder/system, not automatically the failed ignition component."
IGNITION_SYSTEM,P0356,Ignition Coil F Primary/Secondary Circuit Malfunction,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Check-engine light; rough idle; hesitation; engine shake; loss of power; hard start/no-start; flashing MIL if severe misfire.,"Ignition/misfire system fault; confirm whether spark plug, coil, injector, wiring, compression, timing or air/fuel issue is responsible.","Corolla, Axio, Vitz/Yaris, Allion/Premio","March/Micra, Note, Sunny/Almera, X-Trail","S40/V40, S60, V60, XC60","Misfire DTC identifies the affected cylinder/system, not automatically the failed ignition component."
IGNITION_SYSTEM,P0357,Ignition Coil G Primary/Secondary Circuit Malfunction,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Check-engine light; rough idle; hesitation; engine shake; loss of power; hard start/no-start; flashing MIL if severe misfire.,"Ignition/misfire system fault; confirm whether spark plug, coil, injector, wiring, compression, timing or air/fuel issue is responsible.","Corolla, Axio, Vitz/Yaris, Allion/Premio","March/Micra, Note, Sunny/Almera, X-Trail","S40/V40, S60, V60, XC60","Misfire DTC identifies the affected cylinder/system, not automatically the failed ignition component."
IGNITION_SYSTEM,P0358,Ignition Coil H Primary/Secondary Circuit Malfunction,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Check-engine light; rough idle; hesitation; engine shake; loss of power; hard start/no-start; flashing MIL if severe misfire.,"Ignition/misfire system fault; confirm whether spark plug, coil, injector, wiring, compression, timing or air/fuel issue is responsible.","Corolla, Axio, Vitz/Yaris, Allion/Premio","March/Micra, Note, Sunny/Almera, X-Trail","S40/V40, S60, V60, XC60","Misfire DTC identifies the affected cylinder/system, not automatically the failed ignition component."
IGNITION_SYSTEM,P0359,Ignition Coil I Primary/Secondary Circuit Malfunction,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Check-engine light; rough idle; hesitation; engine shake; loss of power; hard start/no-start; flashing MIL if severe misfire.,"Ignition/misfire system fault; confirm whether spark plug, coil, injector, wiring, compression, timing or air/fuel issue is responsible.","Corolla, Axio, Vitz/Yaris, Allion/Premio","March/Micra, Note, Sunny/Almera, X-Trail","S40/V40, S60, V60, XC60","Misfire DTC identifies the affected cylinder/system, not automatically the failed ignition component."
IGNITION_SYSTEM,P0360,Ignition Coil J Primary/Secondary Circuit Malfunction,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Check-engine light; rough idle; hesitation; engine shake; loss of power; hard start/no-start; flashing MIL if severe misfire.,"Ignition/misfire system fault; confirm whether spark plug, coil, injector, wiring, compression, timing or air/fuel issue is responsible.","Corolla, Axio, Vitz/Yaris, Allion/Premio","March/Micra, Note, Sunny/Almera, X-Trail","S40/V40, S60, V60, XC60","Misfire DTC identifies the affected cylinder/system, not automatically the failed ignition component."
IGNITION_SYSTEM,P0361,Ignition Coil K Primary/Secondary Circuit Malfunction,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Check-engine light; rough idle; hesitation; engine shake; loss of power; hard start/no-start; flashing MIL if severe misfire.,"Ignition/misfire system fault; confirm whether spark plug, coil, injector, wiring, compression, timing or air/fuel issue is responsible.","Corolla, Axio, Vitz/Yaris, Allion/Premio","March/Micra, Note, Sunny/Almera, X-Trail","S40/V40, S60, V60, XC60","Misfire DTC identifies the affected cylinder/system, not automatically the failed ignition component."
IGNITION_SYSTEM,P0362,Ignition Coil L Primary/Secondary Circuit Malfunction,Direct/Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Check-engine light; rough idle; hesitation; engine shake; loss of power; hard start/no-start; flashing MIL if severe misfire.,"Ignition/misfire system fault; confirm whether spark plug, coil, injector, wiring, compression, timing or air/fuel issue is responsible.","Corolla, Axio, Vitz/Yaris, Allion/Premio","March/Micra, Note, Sunny/Almera, X-Trail","S40/V40, S60, V60, XC60","Misfire DTC identifies the affected cylinder/system, not automatically the failed ignition component."
ALTERNATOR_ISSUE,P0560,System Voltage Malfunction,Strong,"Strong evidence for the named subsystem/fault family; confirm the failed component using live data, electrical/mechanical tests and OEM procedure.",Battery/charging warning; dim or fluctuating lights; low or unstable system voltage; electrical resets; stalling or no-start after battery discharges.,"Charging-system fault; alternator/generator, regulator, field-control circuit, belt drive, battery cable or ground may be responsible.","Corolla, Axio, Vitz/Yaris, Hilux (ICE)","March, Note, Sunny, X-Trail, Navara","S40, S60, V60, XC60 (ICE)",P056x can also be caused by battery/cable faults. Toyota hybrids normally use DC/DC conversion rather than a conventional alternator.
